dba,address,lat,long
17,358 7TH AVE NYC,40.6661133,-73.9825150096732
24,50 E BROADWAY NYC,40.8264958,-73.9505823
41,328 E 6TH ST NYC,40.6711458461538,-73.9853153076923
3,259 AVENUE OF AMERICAS NYC,40.7289146666667,-74.002666
1,40 EXCHANGE PLACE NYC,40.7059245,-74.0103947
1,112 LIBERTY STREET NYC,40.7097441,-74.012014
4,325 BROADWAY NYC,40.7161414,-74.0050648
14,153 AVENUE C NYC,40.7256962,-73.9779587926431
14,35 W 26TH ST NYC,40.7444333,-73.9902995
23,469 6TH AVE NYC,40.6670633,-73.9844768101974
16,120 W 3RD ST NYC,40.5745704166667,-74.1185993333333
27,349 WEST BROADWAY NYC,40.7226963,-74.0031569820576
30,171 W 4TH ST NYC,40.7321948,-74.0014198
25,114 E 40TH ST NYC,40.65564426727,-74.0130692960881
16,15 VANDERBILT AVE NYC,40.697387,-73.970497
14,528 9TH AVE NYC,40.7560518,-73.9941118
18,790 9TH AVE NYC,40.76489785,-73.9875500853896
1,135 WEST   50th STREET NYC,40.7608683,-73.9823969
9,1413 YORK AVE NYC,40.76916225,-73.9524433719961
25,982 2ND AVE NYC,40.7559595,-73.9675157
4,250 W 72ND ST NYC,40.77916825,-73.9838275966135
8,506 AMSTERDAM AVE NYC,40.7868006,-73.976008821118
8,2709 BROADWAY NYC,40.7995739,-73.9686062
2,"2082 Frederick Douglass Blvd, New York, NY 10026",40.8022102,-73.9566304359966
8,70 W 125TH ST NYC,40.80724535,-73.9449396158667
15,1248 LEXINGTON AVE NYC,40.7784151,-73.9565451
8,2014 2ND AVE NYC,40.7889919,-73.9433022
1,2361 7TH AVE NYC,40.8172204,-73.9419721
4,530 W 136TH ST NYC,40.8201947,-73.9536423517669
2,1944 AMSTERDAM AVE NYC,40.8325268,-73.9425068
4,1270 SAINT NICHOLAS AVE NYC,40.8444183,-73.9370828
8,5025 BROADWAY NYC,40.8696487,-73.9168591589639
3,2337 1ST AVE NYC,40.79853115,-73.9338705956891
22,683 9TH AVE NYC,40.761804,-73.9903993
3,212 FRONT ST NYC,40.7073416,-74.0027202
1,599 W 190TH ST NYC,40.8548566,-73.9291728
12,801 LEXINGTON AVE NYC,40.7639508,-73.9667372
5,1481 2ND AVE NYC,40.7721933,-73.9561166
10,1331 LEXINGTON AVE NYC,40.7865321,-73.9504398
2,230 PARK AVE NYC,40.7543934,-73.9761026010299
1,233 BROADWAY NYC,40.7124684,-74.0079294
2,225 LIBERTY ST NYC,40.71227205,-74.0154360630426
1,102 NORTH END AVENUE NYC,40.7149555,-74.0153365
